10	135
11	226
12	433
13	3071
14	427
15	536
16	217
20	103
21	70
22	306
23	68
24	660
25	751
26	437
30	758
31	343
32	427
33	77
34	291
35	99
36	85
40	427
41	85
42	24
43	555
44	96
45	148
46	359
50	1491
51	83
52	123
53	2581
54	32
55	437
56	3071
60	117
61	422
62	1672
63	536
64	864
65	3071
66	654
70	135
71	264
72	132
73	755
74	158
75	1558
76	275
80	345
81	755
82	381
83	883
84	115
85	32
86	697
90	91
91	353
92	373
93	2151
94	7
95	132
96	53
100	415
101	148
102	849
103	1999
104	24
105	1326
106	658
110	2392
111	102
112	528
113	10
114	652
115	90
116	68
120	18
121	116
122	679
123	1034
124	148
125	91
126	85
130	442
131	148
132	375
133	657
134	1215
135	19
136	81
140	1533
141	91
142	320
143	217
144	2151
145	1491
146	85
150	226
151	746
152	53
153	657
154	1326
155	52
156	437
160	83
161	555
162	19
163	1215
164	926
165	1069
166	68
170	275
171	1843
172	25
173	1069
174	217
175	217
176	2581
180	755
181	81
182	1367
183	103
184	755
185	66
186	2980
190	52
191	148
192	437
193	381
194	657
195	70
196	91
200	1093
201	1567
202	888
203	381
204	682
205	1461
206	1564
210	1367
211	682
212	1461
213	61
214	323
215	91
216	177
220	657
221	921
222	399
223	682
224	995
225	375
226	127
230	710
231	53
232	309
233	83
234	568
235	91
236	81
240	32
241	102
242	859
243	53
244	427
245	364
246	70
250	118
251	1320
252	91
253	1485
254	324
255	220
256	568
260	220
261	439
262	1146
263	83
264	660
265	20
266	357
270	33
271	422
273	1215
274	37
275	41
276	115
280	79
281	90
282	37
283	345
284	498
285	395
286	826
290	20
291	323
292	2104
293	129
294	78
295	61
296	91
300	20
301	28
302	345
303	427
304	148
305	18
306	323
310	18
311	70
312	83
313	358
314	105
315	77
316	1768
320	1146
321	323
322	91
323	99
324	436
325	1863
326	710
330	427
331	115
332	90
333	427
334	83
335	679
336	53
340	442
341	422
342	135
343	53
344	345
345	148
346	33
350	809
351	679
352	47
353	1367
354	24
355	83
356	1367
360	746
361	679
362	7
363	323
364	381
365	32
366	32
370	1093
371	755
372	226
373	755
374	427
375	422
376	148
380	81
381	710
382	1034
383	226
384	345
385	343
386	1269
390	536
